ano|numeracao|sumula|corpo_lei
2020|15797|Altera dispositivos da Lei Municipal nº 15.669, de 3 de julho de 2020, que dispõe sobre as diretrizes para a elaboração da Lei Orçamentária Anual para 2021.|Art. 1º Ficam incluídas, alteradas e excluídas no Anexo I - Das Metas e Prioridades da Administração Municipal, aprovado na Lei Municipal nº 15.669, de 3 de julho de 2020 - Lei de Diretrizes Orçamentárias para 2021, as ações discriminadas na forma do Anexo I, desta lei. Art. 2º Ficam atualizados os valores dos quadros do Anexo de Metas Fiscais, determinados pelo § 1º, e pelo inciso II, do § 2º, do art. 4º, da Lei Complementar Federal nº 101, de 4 de maio de 2000, constantes na Lei Municipal nº 15.669, de 2020. Art. 3º Fica alterado o Anexo de Avaliação Atuarial e Financeira do Sistema Previdenciário do Município, determinado pelo inciso IV, do § 2º, do art. 4º, da Lei Complementar Federal nº 101, de 4 de maio de 2000, constante na Lei Municipal nº 15.669, de 2020. Art. 4º Fica o Poder Executivo autorizado a repassar recursos a título de garantia, honra de avais, seguros e similares, autorizados por lei específica, incluídos na Lei Orçamentária Anual ou em seus créditos adicionais. Parágrafo único. Os repasses de recursos serão efetivados mediante termos de parceria, colaboração ou termos afins, conforme determinam o art. 116, da Lei Federal nº 8.666, de 1993 e suas alterações, e o art. 26, da Lei Complementar nº 101, de 2000 - LRF”. Art. 5º. Cada Unidade Orçamentária deverá custear a Contribuição Social para o PASEP – Programa de Formação do Patrimônio do Servidor Público, nas respectivas fontes de recursos, que integra a base de cálculo dessa contribuição, salvo determinação legal em contrário. Parágrafo único. Na Administração Direta, o recurso ordinário do Tesouro Municipal custeará as fontes de recursos em que os valores das contribuições anuais sejam inferiores a 40 mil reais. Art. 6º Esta lei entra em vigor na data de sua publicação.
2020|15798|Estima a Receita e fixa a Despesa do Município de Curitiba para o exercício financeiro de 2021.|TÍTULO I DAS DISPOSIÇÕES PRELIMINARES Art. 1º Esta lei estima a Receita e fixa a Despesa do Município de Curitiba para o exercício financeiro de 2021, compreendendo: I - Orçamento Fiscal, referente aos Poderes do Município, incluídos os órgãos e entidades da Administração Pública Municipal; II - Orçamento da Seguridade Social, composto pelas entidades e órgãos vinculados à saúde, à assistência social e à previdência; III - Orçamento de Investimento, o qual abrange as empresas em que o Município, direta ou indiretamente, detém a maioria do capital social com direito a voto. TÍTULO II DOS ORÇAMENTOS FISCAL E DA SEGURIDADE SOCIAL CAPÍTULO I DA ESTIMATIVA DA RECEITA Art. 2º A Receita Total dos Orçamentos Fiscal e da Seguridade Social é de R$ 8.127.000.000,00, decorrentes da arrecadação de tributos próprios e transferidos, contribuições e demais receitas correntes e de capital, na forma da legislação vigente e de acordo com cada orçamento: I - A Receita do Orçamento Fiscal é de R$ 6.603.390.000,00, conforme o desdobramento: 1. RECEITAS CORRENTES Receita Impostos, Taxas e Contribuições de Melhoria R$ 3.129.488.000,00 R$ 6.097.441.000,00 PREFEITURA MUNICIPAL DE CURITIBA 2 Receitas de Contribuições R$ 128.000.000,00 Receita Patrimonial R$ 113.088.000,00 Receita de Serviços R$ 575.169.000,00 R$ R$ R$ R$ R$ Transferências Correntes Outras Receitas Correntes 2. RECEITAS DE CAPITAL Operações de Crédito Transferências de Capital Outras Receitas de Capital 3. RECEITAS CORRENTES INTRAORÇAMENT ÁRIAS Receita de Serviços Intraorçamentarias R$ Outras Receitas Correntes Intraorçamentárias R$ 1.977.506.000,00 174.190.000,00 349.815.000,00 129.134.000,00 27.000.000,00 9.344.000,00 1.491.000,00 R$ 505.949.000,00 R$ 10.835.000,00 PREFEITURA MUNICIPAL DE CURITIBA 3 4. DEDUÇÕES DA RECEITA INTRAORÇAMENT ÁRIA TOTAL R$ R$ (10.835.000,00) 6.603.390.000,00 II - A Receita do Orçamento da Seguridade Social é de R$ 1.523.610.000,00, conforme o seguinte desdobramento: R$ 1.523.310.000,00 1. RECEITAS CORRENTES Receitas de Contribuições R$ 266.892.000,00 Receita Patrimonial R$ 213.690.000,00 Receita de Serviços R$ 0,00 Transferências Correntes Outras Receitas Correntes R$ R$ 1.012.691.000,00 30.037.000,00 2. RECEITAS DE CAPITAL Transferências de Capital 3. RECEITAS INTRAORÇAMENT ÁRIAS R$ 300.000,00 R$ 300.000,00 R$ 925.165.000,00 PREFEITURA MUNICIPAL DE CURITIBA 4 Receita de Contribuições R$ Intraorçamentárias Receita Patrimonial Intraorçamentária R$ Outras Receitas Correntes R$ Intraorçamentárias 467.044.000,00 6.000.000,00 452.121.000,00 4. RECURSOS ARRECADADOS EM EXERCÍCIOS ANTERIORES 5. DEDUÇÃO DA RECEITA NTRAORÇAMENTÁ RIA TOTAL R$ 0,00 R$ 0,00 R$ R$ (925.165.000,00) 1.523.610.000,00 III - A totalização da Receita dos Orçamentos é de R$ 8.127.000.000,00, conforme o seguinte desdobramento: 1. RECEITA DO ORÇAMENTO FISCAL 2. RECEITA DO ORÇAMENTO DA SEGURIDADE SOCIAL TOTAL GERAL CAPÍTULO II R$ 6.603.390.000,00 R$ R$ 1.523.610.000,00 8.127.000.000,00 PREFEITURA MUNICIPAL DE CURITIBA 5 DA FIXAÇÃO DA DESPESA Art. 3º A Despesa Total fixada nos Orçamentos Fiscal e da Seguridade Social é de R$ 8.127.000.000,00, descritos nos incisos deste artigo: I - Orçamento Fiscal no valor de R$ 4.594.228.000,00, distribuídos entre os seguintes órgãos orçamentários: PODER LEGISLATIVO 01000 - CÂMARA MUNICIPAL DE CURITIBA PODER EXECUTIVO 02000 - GOVERNO MUNICIPAL 03000 - PROCURADORIA GERAL DO MUNICÍPIO 04000 - SECRETARIA MUNICIPAL DA COMUNICAÇÃO SOCIAL 07000 - SECRETARIA MUNICIPAL DE PLANEJAMENTO, FINANÇAS E ORÇAMENTO 08000 - SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR E NUTRICIONAL 09000 - SECRETARIA MUNICIPAL DA EDUCAÇÃO R$ R$ R$ R$ R$ R$ R$ 147.950.000,00 146.478.000,00 59.854.000,00 27.871.000,00 97.640.000,00 41.275.000,00 1.554.518.000,00 PREFEITURA MUNICIPAL DE CURITIBA 6 10000 - SECRETARIA MUNICIPAL DO MEIO AMBIENTE 11000 - SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS 12000 - SECRETARIA MUNICIPAL DO URBANISMO 13000 - SECRETARIA MUNICIPAL DO ESPORTE, LAZER E JUVENTUDE 14000 - SECRETARIA MUNICIPAL DE DEFESA SOCIAL E TRÂNSITO 18000 - ENCARGOS GERAIS DO MUNICÍPIO 23000 - SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E DE GESTÃO DE PESSOAL 24000 - RESERVA DE CONTINGÊNCIA 25000 - INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA R$ R$ R$ R$ R$ R$ R$ R$ R$ 415.885.000,00 628.078.000,00 37.279.000,00 46.285.000,00 291.991.000,00 365.322.000,00 729.394.000,00 36.500.000,00 68.704.000,00 PREFEITURA MUNICIPAL DE CURITIBA 7 26000 - INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA 27000 - INSTITUTO MUNICIPAL DE TURISMO 28000 - FUNDAÇÃO CULTURAL DE CURITIBA 30000 - FUNDO DE URBANIZAÇÃO DE CURITIBA 32000 - FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA 36000 - FUNDO MUNICIPAL DA CULTURA 42000 - FUNDO MUNICIPAL DE DEFESA CIVIL 49000 - FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL SUBTOTAL R$ R$ R$ R$ R$ R$ R$ R$ R$ 18.600.000,00 5.287.000,00 50.960.000,00 561.246.000,00 35.626.000,00 14.272.000,00 445.000,00 1.600.000,00 5.383.060.000,00 PREFEITURA MUNICIPAL DE CURITIBA 8 DEDUÇÃO DA DESPESA INTRAORÇAMENTÁRIA TOTAL R$ R$ (788.832.000,00) 4.594.228.000,00 II - Orçamento da Seguridade Social no valor de R$ 3.532.772.000,00, distribuídos entre os seguintes órgãos orçamentários: 29000 - FUNDAÇÃO DE AÇÃO SOCIAL 33000 - FUNDO MUNICIPAL DA SAÚDE 35000 - FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE 37000 - FUNDO MUNICIPAL DE APOIO AO DEFICIENTE 38000 - FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL 44000 - FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA 45000 - FUNDO MUNICIPAL DO TRABALHO R$ R$ R$ R$ R$ R$ R$ 122.290.000,00 2.014.621.000,00 21.841.000,00 4.425.000,00 60.117.000,00 7.997.000,00 30.000,00 PREFEITURA MUNICIPAL DE CURITIBA 9 50000 - INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA SUBTOTAL DEDUÇÃO DA DESPESA INTRAORÇAMENTÁRIA TOTAL R$ R$ R$ R$ 1.448.619.000,00 3.679.940.000,00 (147.168.000,00) 3.532.772.000,00 III - A totalização da Despesa dos Orçamentos é de R$ 8.127.000.000,00, conforme o seguinte desdobramento: 1. DESPESA DO ORÇAMENTO FISCAL 2. DESPESA DO ORÇAMENTO DA SEGURIDADE SOCIAL TOTAL CAPÍTULO III R$ R$ R$ 4.594.228.000,00 3.532.772.000,00 8.127.000.000,00 DA AUTORIZAÇÃO PARA ABERTURA DE CRÉDITOS ADICIONAIS SUPLEMENTARES Art. 4º Fica o Poder Executivo Municipal autorizado a abrir Créditos Adicionais Suplementares, observados os limites e as condições estabelecidas neste artigo: I - Remanejar as dotações de despesas previstas no caput do art. 18, da Lei Complementar Federal nº 101, de 4 de maio de 2000, na mesma fonte de recurso da própria unidade orçamentária ou de uma para outra, nos termos previstos no inciso III, do § 1º, do art. 43, da Lei Federal nº 4.320, de 17 de março de 1964; II - Remanejar as dotações nas respectivas categorias econômicas, exceto as despesas previstas no caput do art. 18, da Lei Complementar Federal nº 101, de 2000, quando envolver recursos da mesma fonte de recurso, na própria unidade orçamentária e nos termos previstos no inciso III, do § 1º, do art. 43, da Lei Federal nº 4.320, de 1964; PREFEITURA MUNICIPAL DE CURITIBA 10 III - Suplementar as respectivas dotações, com recursos do superávit financeiro, apurado em Balanço Patrimonial do exercício anterior, no limite do saldo verificado em cada fonte de recurso e nos termos previstos no inciso I, do § 1º, do art. 43, da Lei Federal nº 4.320, de 1964; IV - Suplementar as respectivas dotações, com recursos do excesso de arrecadação, verificado na respectiva fonte de recurso de cada unidade orçamentária, nos termos previstos no inciso II, do § 1º, do art. 43, da Lei Federal nº 4.320, de 1964; V - Suplementar as respectivas dotações, com recursos do excesso de arrecadação por tendência, nos termos previstos no inciso II, do § 1º e no § 3º, do art. 43, da Lei Federal nº 4.320, de 1964; VI - Suplementar as respectivas dotações, com recursos de operação de crédito, nos termos previstos no inciso IV, do § 1º, do art. 43, da Lei Federal nº 4.320, de 1964; VII - Suplementar as respectivas dotações para atender despesas com o serviço da dívida, sentenças judiciais e com o PASEP, utilizando como recurso as formas previstas no inciso III, do § 1º, do art. 43, da Lei Federal nº 4.320, de 1964; VIII - Utilizar a Reserva de Contingência como recurso de abertura de créditos adicionais. Art. 5º Fica o Poder Executivo Municipal autorizado a abrir Créditos Adicionais Suplementares até o limite de 12 % do total da despesa autorizada, para os Orçamentos Fiscal e da Seguridade Social, nos termos previstos no inciso III, do § 1º, do art. 43, da Lei Federal nº 4.320, de 1964, excluídas as autorizações contidas nos arts. 4º e 6º, desta lei. Parágrafo único. As alterações orçamentárias envolvendo unidades orçamentárias distintas serão computadas no limite fixado no caput deste artigo. Art. 6º Fica o Poder Executivo Municipal autorizado a abrir Créditos Adicionais Suplementares até o limite de 20% do total da despesa, autorizada para cada Instituto, Fundação ou Fundo, que compõem os Orçamentos Fiscal e da Seguridade Social, nos termos previstos no inciso III, do § 1º, do art. 43, da Lei Federal nº 4.320, de 1964. Art. 7º Os Créditos Adicionais Suplementares que se referem a esta lei, terão sua abertura detalhada ao nível de elemento de despesa, identificador de uso, destinação de recursos e especificação das fontes de recursos, observado o disposto no art. 6º, da Lei 15.669, de 3 de julho de 2020 - Lei de Diretrizes Orçamentárias para 2021. Art. 8º Os Créditos Adicionais Suplementares com indicação de recursos do Poder Legislativo de Curitiba, nos termos do inciso III, § 1º, do art. 43, da Lei Federal nº 4.320, de 1964, poderão ser abertos até o limite de 12% da despesa autorizada, no âmbito do Poder Legislativo por Ato do Presidente da Câmara Municipal de Curitiba. Parágrafo único. O Poder Legislativo enviará, ao Poder Executivo, cópia do Ato a que se refere o caput deste artigo, no prazo máximo de quinze dias, para que este proceda às devidas anotações em seus registros orçamentários e contábeis. Art. 9º O Poder Executivo poderá proceder à suplementação das dotações orçamentárias destinadas ao Poder Legislativo no exercício financeiro de 2021, de forma a atingir o limite máximo definido constitucionalmente de 4,5%, relativos ao somatório das receitas efetivamente realizadas no exercício financeiro de 2020, conforme disposto no art. 29-A, da Constituição Federal. PREFEITURA MUNICIPAL DE CURITIBA 11 Parágrafo único. Como recurso para suplementação de que trata o caput deste artigo, o Poder Executivo poderá utilizar os recursos enumerados no inciso III, do § 1º, do art. 43, da Lei Federal nº 4.320, de 1964. TÍTULO III DO ORÇAMENTO DE INVESTIMENTO CAPÍTULO I DAS FONTES DE FINANCIAMENTO Art. 10. O Orçamento de Investimento tem como fontes de receita, aquelas decorrentes de recursos destinados ao aumento de capital, conforme o art. 26, da Lei Complementar Federal nº 101, de 2000, e a Lei Complementar Municipal nº 33, de 21 de dezembro de 2000, bem como a geração de recursos próprios, as quais ficam estimadas conforme o seguinte desdobramento: RECEITAS DO TESOURO - RECURSOS LIVRES RECEITAS DE GERAÇÃO PRÓPRIA TOTAL R$ R$ R$ CAPÍTULO II DA FIXAÇÃO DA DESPESA 7.250.000,00 1.000.000,00 8.250.000,00 Art. 11. A Despesa do Orçamento de Investimento das empresas constituídas em sociedade de economia mista, no valor de R$ 8.250.000,00, conforme a programação nesta lei, obedece ao seguinte desdobramento: 55000 - COMPANHIA DE HABITAÇÃO POPULAR DE CURITIBA - COHAB-CT 56000 - URBS - URBANIZAÇÃO DE CURITIBA S.A. R$ R$ 5.000.000,00 3.000.000,00 PREFEITURA MUNICIPAL DE CURITIBA 12 57000 - COMPANHIA DE DESENVOLVIMENTO DE CURITIBA - CURITIBA S/A 58000 - AGÊNCIA CURITIBA DE DESENVOLVIMENTO S/A TOTAL TÍTULO IV DAS DISPOSIÇÕES FINAIS R$ R$ R$ 50.000,00 200.000,00 8.250.000,00 Art. 12. Os Créditos Adicionais Especiais e Extraordinários autorizados no exercício financeiro de 2020, e reabertos nos limites de seus saldos, segundo o disposto no § 2º, do art. 167, da Constituição Federal, de 5 de outubro de 1988, obedecerão à codificação constante nesta lei. Parágrafo único. Para a reabertura dos créditos adicionais de que trata o caput deste artigo, fica o Poder Executivo autorizado a proceder a adequação da codificação dos elementos de despesas com as respectivas fontes de receita, conforme estabelece o Plano de Contas da Receita e da Despesa, contido na Instrução Técnica nº 20, de 23 de maio de 2003, do Tribunal de Contas do Estado do Paraná e suas atualizações. Art. 13. Esta lei entra em vigor em 1º de janeiro de 2021.
2020|15779|Autoriza o Poder Executivo a constituir s o c i e d a d e p o r a ç õ e s , d e p r o p ó s i t o específico, com o objetivo de implantar, manter e operacionalizar uma Unidade Geradora a Biomassa e uma Unidade Geradora Fotovoltaica no Aterro Sanitário de Curitiba, e dá outras providências.|"Art. 1º Fica o Poder Executivo Municipal autorizado a constituir uma sociedade por ações, de propósito específico, de capital fechado, dotada de personalidade jurídica de direito privado, na forma da Lei Federal nº 6.404, de 15 de dezembro de 1976 e suas alterações, e da Lei Federal nº 13.303, de 30 de junho de 2016, com a Companhia Paranaense de Energia – COPEL, ou subsidiária integral dessa, nos termos da Lei Estadual nº 1.384, de 11 de novembro de 1953, com as alterações da Lei Estadual nº 16.652, de 2010, sob a denominação Usina Fotovoltaica e de Biomassa Caximba S/A, para geração distribuída, conforme regulamentação da Agência Nacional de Energia Elétrica – ANEEL. § 1º A sociedade prevista no caput deste artigo terá como propósito a implantação, manutenção e operacionalização de Unidade Geradora a Biomassa e de Unidade Geradora Fotovoltaica, para atuar no segmento de geração distribuída, conforme regulamentação da Agência Nacional de Energia Elétrica – ANEEL, em área de propriedade do Município, que abriga o Aterro Sanitário de Curitiba. § 2º A sociedade Usina Fotovoltaica e de Biomassa Caximba S/A. usará a sigla UFB Caximba. § 3º Fica a Usina autorizada a, no âmbito de seus objetivos, promover ações em geração distribuída de energia, educação, meio-ambiente e áreas correlatas, difundindo os conhecimentos inerentes às suas atividades fins, em ações integradas com outros Municípios, o Estado, a União e a sociedade. Art. 2º A UFB Caximba terá sede em Curitiba-PR e prazo de duração de 25 (vinte e cinco) anos, o qual poderá ser prorrogado por até igual período, desde que em consonância com os objetivos da companhia, se for do interesse dos acionistas. Art. 3º O Município de Curitiba integralizará a proporção de até 51% (cinquenta e um por cento) do capital social da Sociedade, que será constituído por ações nominativas com direito à voto de valor unitário de R$ 1,00 (um real). § 1º O capital inicial da Sociedade será de R$ 1.000.000,00 (um milhão de reais). § 2º O Município de Curitiba, em todos os aumentos de capital que se realizarão na forma da lei, deverá manter a mesma participação máxima a que se refere o caput deste artigo. § 3º Participará do capital social a Companhia Paranaense de Energia – COPEL, ou subsidiária integral desta, na forma da Lei Estadual nº 1384, de 1953, e suas alterações. § 4º Os aumentos de capital respeitarão a execução do cronograma financeiro previsto no Plano de Negócios. PREFEITURA MUNICIPAL DE CURITIBA 2 Art. 4º Fica o Poder Executivo autorizado, para integralização do capital social, a incorporar na Sociedade, imóveis pertencentes ao patrimônio Municipal. Art. 5º Por força da natureza das atribuições da UFB Caximba e sua estrita vinculação com a política ambiental do Município de Curitiba, bem ainda a necessária preservação da responsabilidade na gestão fiscal do Município, o processo inicial de implantação da entidade ocorrerá sem a criação de novos cargos ou empregos, ficando autorizadas para seu funcionamento as seguintes providências: I - cessão funcional de servidores e empregados da Administração direta ou indireta do Município, em quantitativo, perfil profissional dos cedidos e duração do ato previamente determinados por decreto, sem ônus para a UFB Caximba e sem ressarcimento ao cedente, dado o relevante interesse público da implantação do programa ali desenvolvido; II - atuação de servidores e empregados públicos mediante designação para exercício de funções gratificadas já criadas pelo Poder Executivo em caráter transitório e destinadas ao exercício de atividades de coordenação de projetos e assessoramento compatíveis com as atribuições próprias da UFB Caximba, em qualquer caso acompanhada da cessão funcional dos designados, providência passível de utilização no máximo até o final do exercício orçamentário de 2021. Art. 6º Fica a sociedade autorizada a: I - promover desapropriações, cujas respectivas declarações de utilidade pública, necessidade pública ou de interesse social, forem, previamente, feitas pelo Poder Público competente; II – celebrar negócios jurídicos relativos a imóveis visando atender às suas finalidades; III - firmar convênios, consórcios, contratos ou acordos com entidades de direito público ou privado, para a realização de seus objetivos; IV - efetuar operações de crédito, visando desenvolver atividades para as quais foi criada; V – oferecer garantias para os fins previstos no inciso anterior; VI - realizar obras e instalações nas vias, logradouros e em imóveis do domínio do Município, necessários a execução dos seus serviços, inclusive os de melhoria e ampliação dos sistemas, observada a legislação vigente; VII – explorar economicamente as instalações, desde que observados seus objetivos; VIII - promover ou patrocinar eventos especiais, de natureza informativa e promocional que contribuam direta e indiretamente para o fomento das atividades. Art. 7º Na elaboração do Estatuto da companhia deverão ser observadas as diretrizes e restrições contidas na Lei nº 15.208, de 14 de maio de 2018. Art. 8º Constituem receitas da Usina S/A: I – recursos, doações, contribuições, auxílios ou subvenções de entidades públicas ou privadas; II - remuneração por serviços prestados; III - receitas oriundas de convênios, acordos e outros ajustes; PREFEITURA MUNICIPAL DE CURITIBA 3 IV - recursos de dotações orçamentárias provenientes de entes públicos; V - produto de alienação de bens integrantes de seu patrimônio; VI - rendas eventuais. Art. 9º A constituição e formalização da SPE fica condicionada a viabilidade econômico e financeira demonstrada em Estudo a ser executado pelo Município de Curitiba em conjunto com a COPEL. Art. 10. A alínea ""c"" do inciso II do art. 2º da Lei nº 7.671, de 10 de junho de 1991 e suas alterações, passa a vigorar acrescido de item 5 com a seguinte redação: “5. Usina Fotovoltaica e de Biomassa Caximba S/A.” (NR) Art. 11. O inciso III art. 33 da Lei nº 7.671, de 1991, passa a vigorar com a seguinte redação: “III – Coordenação Urbanístico-Ambiental, compreendendo a Secretaria Municipal de Obras Públicas; Secretaria Municipal do meio Ambiente; Secretaria Municipal do Urbanismo; Instituto de Pesquisa e Planejamento Urbano de Curitiba; URBS – Urbanização de Curitiba S/A, Secretaria Municipal de Trânsito e Usina Fotovoltaica e de Biomassa Caximba S/A.” (NR) Art. 12. As despesas do Município decorrentes desta Lei deverão ter adequação orçamentária e financeira com a lei orçamentária anual e compatibilidade com o plano plurianual e com a lei de diretrizes orçamentárias. Art. 13. Esta Lei entrará em vigor na data de sua publicação."
2020|15778|Dispõe sobre a geração de energia elétrica f o t o v o l t a i c a n o s l a d o s d o s p a r q u e s m u n i c i p a i s .|Art. 1º Os lagos de parques municipais poderão ser destinados para a geração de energia elétrica fotovoltaica. Art. 2 º A instalação dos painéis fotovoltaicos poderá ser feita diretamente pelo Poder Público, através de concessão onerosa, convênios ou parcerias. Art. 3º Essa Lei entra em vigor na data de sua publicação.
2020|15780|Cria o Pólo Gastronômico e Cultural do Petit Batel.|"Art. 1º Fica designado como ""Polo Gastronômico e Cultural do Petit Batel"" o quadrilátero compreendido entre as Ruas Desembargador Motta e Alferes Ângelo Sampaio, e entre as Ruas Doutor Carlos de Carvalho e Comendador Araújo. Art. 2º Serão incentivados a promoção e o ordenamento do local, mediante apoio dos órgãos envolvidos de acordo com o previsto no art. 121, § 2º e § 3º da Lei nº 14.771/2015, visando preservar: I - o livre trânsito de veículos e transeuntes; II - a segurança local; III - a harmonia estética; IV - a sinalização indicativa dos estabelecimentos participantes; V - a repressão ao comércio ambulante irregular; VI - apresentações musicais, poéticas e artísticas; VII - festivais e encontros gastronômicos e culturais; VIII - a melhoria da iluminação e calçadas. Art. 3º Esta Lei entra em vigor na data de sua publicação."
2020|15781|Dispõe sobre a contratação de aprendizes pelos órgãos da administração direta e indireta.|Art. 1º Os órgãos da administração pública direta e indireta, autárquica e fundacional do Município de Curitiba devem contratar aprendizes para o seu quadro funcional, em percentuais a serem estabelecidos por Decreto do Poder Executivo. Parágrafo único. O percentual deverá ser calculado sobre o número total de servidores efetivos em atividade na Administração Pública Municipal. Art. 2º A administração pública municipal, suas autarquias e fundações, deverão inserir aprendizes em atendimento à presente Lei por intermédio da contratação das entidades sem fins lucrativos, sempre através de procedimentos licitatórios. Paragrafo único. Fica autorizado o Poder Executivo Municipal a editar regulamento de implantação do programa através de Decreto, a fim de conformá-lo às condições de implementação garantidas pelo sistema orçamentário. Art. 3º Consideram-se habilitadas as pessoas que preencherem os seguintes pressupostos: I - idade entre quatorze e 24 (vinte e quatro) anos; II - tenham cursado ou estejam cursando o ensino fundamental ou médio. § 1º Os requisitos de idade e escolaridade não se aplicam aos aprendizes com deficiência. § 2º Será priorizada a contratação de aprendizes: I - que componham famílias classificadas como abaixo do nível de pobreza; II - em cumprimento de medida de proteção; III - em cumprimento de medida socioeducativa; IV - com deficiência; V - estudantes ou que tenham concluído o ensino médio. Art. 4º Esta Lei entra em vigor no prazo de 180 (cento e oitenta) dias a partir da data de sua publicação.
2020|15782|Altera o prazo de vigência do Regime Emergencial de Operação e Custeio do Transporte Coletivo para o enfrentamento da emergência em saúde pública decorrente da pandemia da COVID-19, instituído pela Lei nº 15.627, de 5 de maio de 2020.|Art. 1º O caput do art. 11 da Lei nº 15.627, de 5 de maio de 2020, passa a vigorar com a seguinte redação: “Art. 11. As medidas previstas nesta lei poderão retroagir no máximo até a data da publicação do Decreto nº 421, de 16 de março de 2020 e vigorarão até 30 de junho de 2021.” (NR) Art. 2º A adesão à prorrogação do regime emergencial definido na Lei nº 15.627, de 2020, é de natureza facultativa, e será aplicada mediante requerimento formal e expresso de cada um dos consórcios concessionários dos serviços de transporte, a ser apresentado à URBS. Parágrafo único. A adesão à prorrogação do regime emergencial a que se refere esta lei implicará em submissão dos concessionários, da URBS e do Município a todos os termos da Lei nº 15.627, de 2020. Art. 3º Esta lei entra em vigor na data de sua publicação.
2020|15783|Cria a Rota Gastronômica da Comida sem Glúten na cidade de Curitiba, Capital dos Celíacos.|Art. 1º Fica instituída a Rota Gastronômica da Comida sem Glúten na cidade de Curitiba. Art. 2º Integram a Rota Gastronômica da Comida sem Glúten na cidade de Curitiba os estabelecimentos comerciais devidamente licenciados pela Associação dos Celíacos do Paraná - Acelpar, nas atividades de bares, restaurantes, microcervejarias e congêneres. Art. 3º A Rota Gastronômica da Comida sem Glúten tem por objetivo: I - incentivar o potencial gastronômico e turístico da região; II - impulsionar a produção de produtos artesanais sem glúten; III - promover o desenvolvimento econômico local e regional; IV - gerar e promover um ambiente que estimule a atração, a permanência e o crescimento dos negócios; V - criar oportunidades de trabalho, emprego e renda; VI - garantir a alta qualidade dos serviços público disponíveis; VII - fomentar a inovação e difundir tecnologias através de cursos, palestras e assistência técnica sobre a cadeia produtiva local; VIII - articular e divulgar eventos, festivais e encontros gastronômico da região. IX - ajudar a promover a conscientização da população sobre a doença celíaca, nos termos da Lei Municipal nº. 15.648 de 16 de junho de 2020. Art. 4º Esta lei entrará em vigor na data de sua publicação.
2020|15784|Concede a Remissão de Foro aos imóveis foreiros do Município de Curitiba, conforme especifica.|Art. 1º Fica remido o aforamento, de caráter gratuito, que pesa sobre os imóveis foreiros onde o Município de Curitiba se constitui o aforador, consolidando o direito do domínio pleno dos imóveis. Art. 2º Poderá o foreiro interessado requerer averbação da remissão de foro, diretamente ao Ofício de Registro de Imóveis mediante simples requerimento. Art. 3º Os serviços de Registro de Imóveis ficam autorizados desde já a providenciar diretamente a baixa requerida, desde que seja apresentada pela parte interessada certidão negativa de débitos, com a finalidade de remissão de foro, junto a Receita do Município de Curitiba. Art. 4º Esta lei entrará em vigor na data de sua publicação. Art. 5º Fica revogada a Lei nº 8.572, de 19 de dezembro de 1994.
2020|15785|Denomina de Embaixador Bernardo Pericás Neto, um dos logradouros públicos da Capital ainda não nominado.|Art. 1º É denominado de Embaixador Bernardo Pericás Neto, um dos logradouros públicos da Capital ainda não nominado. Art. 2º Esta lei entra em vigor na data de sua publicação.
